    1     1  
    2     1  
    3     1  
    6     1  
    8     1  
   14     1  
   17     1  
   23     1  
   28     1  
   36     1  
   42     1  
   51     1  
   59     1  
   69     1  
   78     1  
   90     1  
  101     1  
  114     1  
  128     1  
  142     1  
  158     1  
  172     1  
  189     1  
  207     1  
  226     1  
  246     1  
  265     1  
  285     1  
  308     1  
  331     1  
  354     1  

    1     2  
    4     2  
   10     2  
   18     2  
   30     2  
   44     2  
   62     2  
   84     2  
  108     2  
  135     2  
  167     2  
  201     2  
  241     2  
  283     2  
  327     2  
  376     2  
  417     2  
  457     2  
  493     2  
  531     2  
  566     2  
  601     2  
  638     2  
  671     2  
  705     2  
  738     2  
  772     2  
  806     2  
  839     2  
  873     2  
  906     2  

  906     3  
  909     3  
  910     3  
  913     3  
  916     3  
  917     3  
  920     3  
  922     3  
  925     3  
  927     3  
  929     3  
  932     3  
  935     3  
  936     3  
  938     3  
  940     3  
  942     3  
  944     3  
  946     3  
  947     3  
  949     3  
  951     3  
  953     3  
  954     3  
  955     3  
  956     3  
  957     3  
  958     3  
  959     3  
  960     3  
  961     3  

  354     4  
  358     4  
  362     4  
  368     4  
  380     4  
  393     4  
  405     4  
  419     4  
  439     4  
  455     4  
  476     4  
  496     4  
  519     4  
  542     4  
  564     4  
  589     4  
  613     4  
  636     4  
  663     4  
  689     4  
  715     4  
  741     4  
  768     4  
  796     4  
  823     4  
  851     4  
  877     4  
  905     4  
  934     4  
  952     4  
  961     4  








