  172     1  
  176     1  
  180     1  
  189     1  
  196     1  
  204     1  
  211     1  
  219     1  
  225     1  
  229     1  
  231     1  

    1     2  
    2     2  
    3     2  
    7     2  
    9     2  
   14     2  
   19     2  
   25     2  
   30     2  
   40     2  
   47     2  
   57     2  
   64     2  
   77     2  
   86     2  
  101     2  
  110     2  
  127     2  
  139     2  
  158     2  
  172     2  

    1     3  
    4     3  
   10     3  
   18     3  
   31     3  
   48     3  
   65     3  
   87     3  
  111     3  
  140     3  
  173     3  

  173     4  
  174     4  
  175     4  
  178     4  
  179     4  
  184     4  
  188     4  
  191     4  
  195     4  
  199     4  
  203     4  
  209     4  
  210     4  
  215     4  
  218     4  
  222     4  
  224     4  
  227     4  
  228     4  
  230     4  
  231     4  








